original_column_name,clean_name,domain,subdomain,indicator_type,measurement_unit,directionality,is_contextual,is_substantive_health,is_health_system,is_demographic,is_socioeconomic,policy_relevance,missingness_rate,low_sample_value_count,clustering_candidate,holdout_candidate,exclusion_reason,review_status,min,max,mean,median
Deaths in the last 3 years registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority,registration,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.14,27,review_required,review_required,N/A,pending,8.3,100.0,71.1831,76.2
Population living in households with electricity (%),Population living in households with electricity,household_environment,unknown,household_environment,percentage,review_required,True,False,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,68.4,100.0,97.0017,98.7
Population living in households with an improved drinking-water source1 (%),Population living in households with an improved drinking-water source,household_environment,unknown,household_environment,percentage,review_required,True,False,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,41.2,100.0,93.7229,97.0
Population living in households that use an improved sanitation facility2 (%),Population living in households that use an improved sanitation facility,household_environment,unknown,household_environment,percentage,review_required,True,False,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,29.2,99.9,71.9322,73.75
Households using clean fuel for cooking3 (%),Households using clean fuel for cooking,household_environment,unknown,household_environment,percentage,review_required,True,False,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,8.6,99.8,54.1231,50.5
Households using iodized salt (%),Households using iodized salt,household_environment,unknown,household_environment,percentage,review_required,True,False,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,47.9,100.0,95.1296,97.0
Households with any usual member covered under a health insurance/financing scheme (%),Households with any usual member covered under a health insurance/financing scheme,healthcare_access,unknown,socioeconomic,percentage,review_required,True,False,False,False,True,review_required,0.0,0,review_required,review_required,N/A,pending,1.2,97.8,40.2292,35.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Children age 5 years who attended pre-primary school during the school year 2019-,healthcare_access,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.42,155,review_required,review_required,N/A,pending,0.0,52.9,12.5138,9.6
Women (age 15-49) who are literate4 (%),Women (age 15-49) who are literate,literacy_education,unknown,socioeconomic,percentage,review_required,True,False,False,False,True,review_required,0.0,0,review_required,review_required,N/A,pending,38.6,99.7,74.3319,75.1
Women (age 15-49)  with 10 or more years of schooling (%),Women (age 15-49)  with 10 or more years of schooling,literacy_education,unknown,socioeconomic,percentage,review_required,True,False,False,False,True,review_required,0.0,0,review_required,review_required,N/A,pending,13.6,88.2,40.3268,39.2
Women age 20-24 years married before age 18 years (%),Women age 20-24 years married before age 18 years,reproductive_health,unknown,socioeconomic,percentage,review_required,True,False,False,False,True,review_required,0.0,1,review_required,review_required,N/A,pending,0.0,57.6,20.4466,18.25
Births in the 5 years preceding the survey that are third or higher order (%),Births in the 5 years preceding the survey that are third or higher order,demographics,unknown,demographic,percentage,review_required,True,False,False,True,False,review_required,0.14,0,review_required,review_required,N/A,pending,0.0,8.0,2.0515,1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women age 15-19 years who were already mothers or pregnant at the time of the survey,reproductive_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,0.0,27.3,6.1705,4.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,9.0,100.0,78.2722,79.6
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,12.1,89.1,65.7765,68.1
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,10.6,81.2,54.8285,55.6
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.1,76.5,35.1269,34.15
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,18.4,0.52,0.1
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,32.2,2.887,1.9
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,53.0,5.6067,2.5
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,43.9,8.9684,6.1
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,9.8,0.63,0.3
Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years),reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.2,33.0,9.563,8.5
Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years),reproductive_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.3,25.2,4.2924,3.7
Health worker ever talked to female non-users about family planning (%),Health worker ever talked to female non-users about family planning,reproductive_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,2.0,64.2,24.2244,23.1
Current users ever told about side effects of current method of family planning8 (%),Current users ever told about side effects of current method of family planning,reproductive_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.28,66,review_required,review_required,N/A,pending,14.6,98.9,65.0432,66.05
Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey),maternal_health,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,26.3,99.6,71.8174,73.75
Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey),maternal_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,4.4,98.7,60.4722,62.4
Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey),maternal_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,55.1,100.0,91.251,92.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey),maternal_health,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,1.6,95.0,46.3586,47.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey},maternal_health,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,0.8,84.6,27.3156,24.55
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey),maternal_health,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,50.0,100.0,96.188,97.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,24.9,99.5,79.003,83.15
Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey),maternal_health,unknown,access_affordability,INR / Rupees,review_required,False,False,True,False,False,review_required,0.14,14,review_required,review_required,N/A,pending,193.0,20101.0,3529.3475,2830.0
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey},healthcare_access,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,59.77,141,review_required,review_required,N/A,pending,0.0,29.0,3.8993,2.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,22.4,99.6,78.9885,83.3
Institutional births (in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,21.4,100.0,88.665,92.2
Institutional births in public facility (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,18.1,96.7,64.938,66.5
Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey),maternal_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,19.9,3.0806,2.1
Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,30.9,100.0,89.5714,92.3
Births delivered by caesarean section (in the 5 years before the survey) (%),Births delivered by caesarean section (in the 5 years before the survey),maternal_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.4,82.4,22.8424,18.6
Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,21.25,122,review_required,review_required,N/A,pending,6.3,94.2,49.434,46.1
Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey),maternal_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,0.0,6,review_required,review_required,N/A,pending,0.7,73.0,17.2746,12.95
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,38.3,100.0,77.675,78.0
Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,3.12,323,review_required,review_required,N/A,pending,45.0,100.0,84.0165,84.95
Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received BCG,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,65.9,100.0,95.0111,96.0
Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of polio vaccine,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,47.6,100.0,81.502,82.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,53.3,100.0,87.341,88.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV),immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,53.2,100.0,88.4561,89.6
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV),immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,2.8,63.8,31.8709,31.4
Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,0.0,100.0,39.131,39.9
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine,immunization,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,1.84,232,review_required,review_required,N/A,pending,39.5,100.0,84.6563,86.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 9-35 months who received a vitamin A dose in the last 6 months,child_health,unknown,coverage,percentage,review_required,False,True,False,False,False,review_required,0.14,5,review_required,review_required,N/A,pending,27.5,98.1,72.2701,73.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a public health facility,immunization,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,2.27,252,review_required,review_required,N/A,pending,67.1,100.0,95.7041,97.3
Children age 12-23 months who received most of their vaccinations in a private health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility,immunization,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,2.27,252,review_required,review_required,N/A,pending,0.0,32.9,3.2055,1.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,39.3,6.4763,5.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,69.69,162,review_required,review_required,N/A,pending,18.8,95.9,61.0991,60.75
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,69.69,162,review_required,review_required,N/A,pending,4.2,70.4,31.8907,30.35
Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%),Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years),child_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,69.69,162,review_required,review_required,N/A,pending,27.4,95.3,68.0019,69.6
Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years),child_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.0,11.2,2.5388,2.1
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years),child_health,unknown,access_utilization,percentage,review_required,False,False,True,False,False,review_required,31.73,264,review_required,review_required,N/A,pending,13.8,97.3,66.3836,67.8
Children under age 3 years breastfed within one hour of birth15 (%),Children under age 3 years breastfed within one hour of birth,child_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,7.8,88.5,44.8392,45.15
Children under age 6 months exclusively breastfed16 (%),Children under age 6 months exclusively breastfed,child_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,36.97,347,review_required,review_required,N/A,pending,22.3,94.0,65.9465,66.4
Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk,child_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,90.93,62,review_required,review_required,N/A,pending,7.9,85.2,41.3188,40.3
"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Breastfeeding children age 6-23 months receiving an adequate diet16,",child_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.71,136,review_required,review_required,N/A,pending,0.0,54.1,11.92,10.2
"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16,",child_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,91.08,59,review_required,review_required,N/A,pending,0.0,41.3,13.0556,10.7
"Total children age 6-23 months receiving an adequate diet16, 17  (%)","Total children age 6-23 months receiving an adequate diet16,",child_health,unknown,behavior,percentage,review_required,False,True,False,False,False,review_required,0.14,51,review_required,review_required,N/A,pending,0.0,50.1,12.303,10.9
Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are stunted (height-for-age),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,13.2,60.6,33.5076,32.85
Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are wasted (weight-for-height),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,4.5,48.0,18.5557,18.1
Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are severely wasted (weight-for-height),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,0.5,30.5,7.5669,6.9
Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are underweight (weight-for-age),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,7.2,62.4,29.522,29.35
Children under 5 years who are overweight (weight-for-height)20 (%),Children under 5 years who are overweight (weight-for-height),child_health,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,1,review_required,review_required,N/A,pending,0.0,21.1,4.2112,3.5
Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2),nutrition,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.2,43.6,17.8949,18.0
Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2),nutrition,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,3.8,53.0,23.0695,21.3
Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85),unknown,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,18.0,96.6,57.4646,58.15
Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children age 6-59 months who are anaemic (<11.0 g/dl),anemia,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,2,review_required,review_required,N/A,pending,24.9,95.5,65.8137,67.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl),anemia,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,15.6,94.6,56.1623,57.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl),anemia,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,18.98,421,review_required,review_required,N/A,pending,2.0,87.6,50.4103,51.9
All women age 15-49 years who are anaemic22 (%),All women age 15-49 years who are anaemic,anemia,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,14.9,93.5,55.9173,57.2
All women age 15-19 years who are anaemic22 (%),All women age 15-19 years who are anaemic,anemia,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,3,review_required,review_required,N/A,pending,18.2,97.1,58.1248,59.75
Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.6,14.6,5.8378,5.65
Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.7,18.0,5.5919,4.9
Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,4.1,32.1,12.4616,11.7
Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,1.7,18.3,6.998,6.8
Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.5,21.1,6.6462,6.3
Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,4.8,36.2,14.7222,14.1
Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg),non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,4.3,23.7,12.672,12.6
Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg),non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,0.7,15.8,5.3494,5.1
Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure,non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,8.5,42.1,21.4068,21.0
Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg),non_communicable_disease,unknown,health_outcome,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,5.3,32.9,16.2649,16.3
